CORE,,,,,,,,,,,,,
64,,,,,,,,,,,,,
,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,
VFEXTS32H,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,
VFEXTH16LL,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,
VFEXTH16LH,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,
VFEXTH16HL,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,
VFEXTH16HH,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,
VMOV,VMAC1/VMAC2/VMAC3/VIEU,1,VR,,,VR,1,1,,,,,
VMOVI,VMAC1/VMAC2/VMAC3/VIEU,1,IMM,,,VR,1,1,,,,,
VFCMPED,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,
VFCMPES32,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,
VFCMPGD,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,
VFCMPGS32,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,
VFCMPLD,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,
VFCMPLS32,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,
VFDINT,VMAC1,3,VR,,,VR,1,1,,,,,
VFSINT32,VMAC1,3,VR,,,VR,1,1,,,,,
VFDTRU,VMAC1,3,VR,,,VR,1,1,,,,,
VFSTRU32,VMAC1,3,VR,,,VR,1,1,,,,,
VFINTD,VMAC1,3,VR,,,VR,1,1,,,,,
VFINTDU,VMAC1,3,VR,,,VR,1,1,,,,,
VFINTS32,VMAC1,3,VR,,,VR,1,1,,,,,
VFINTSU32,VMAC1,3,VR,,,VR,1,1,,,,,
VFDPSP32,VMAC1,3,VR,VR,,VR,1,1,,,,,
VFSPDP32T,VMAC1,1,VR,,,VR,1,1,,,,,
VFSPHDP32T,VMAC1,1,VR,,,VR,1,1,,,,,
VFMAND,VMAC1,1,VR,,,VR,1,1,,,,,
VFMANS32,VMAC1,1,VR,,,VR,1,1,,,,,
VFLOGD,VMAC1,1,VR,,,VR,1,1,,,,,
VFLOGS32,VMAC1,1,VR,,,VR,1,1,,,,,
VFABSD,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,
VFABSS32,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,
VFRSQD,VMAC1,1,VR,,,VR,1,1,,,,,
VFRSQS32,VMAC1,1,VR,,,VR,1,1,,,,,
VFRCPD,VMAC1,1,VR,,,VR,1,1,,,,,
VFRCPS32,VMAC1,1,VR,,,VR,1,1,,,,,
VADD,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,
VADDU,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,
VADD32,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,
VADDU32,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,
