CORE,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,,,,,,
VSTDWDM32,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,,,,,,
VFMULH,VMAC1/VMAC2/VMAC3/VMAC0,4,VR,VR,,VR,1,1,,,,,,,,,,
VFMULS32,VMAC1/VMAC2/VMAC3/VMAC0,4,VR,VR,,VR,1,1,,,,,,,,,,
VFMULAH,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,VR,VR,1,1,,,,,,,,,,
VFMULAS32,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,VR,VR,1,1,,,,,,,,,,
VFMULBH,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,VR,VR,1,1,,,,,,,,,,
VFMULBS32,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,VR,VR,1,1,,,,,,,,,,
VFDOT16,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,,VR,1,1,,,,,,,,,,
VFCMUL16,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,,VR,1,1,,,,,,,,,,
VMULISU16,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VMULIS16,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VMULIU16,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VMULISU,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VMULIS,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VMULIU,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VMULSU16,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,输入3与输出寄存器必须一致,,,,,,,,,
VMULS16,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,输入3与输出寄存器必须一致,,,,,,,,,
VMULU16,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,输入3与输出寄存器必须一致,,,,,,,,,
VMULSU,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,输入3与输出寄存器必须一致,,,,,,,,,
VMULS,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,,,,,,,,,,
VMULU,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,,,,,,,,,,
VMULAUS16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULASU16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULAU16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULAS16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULBUS16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULBSU16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULBU16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
